,zipcode,address,price,size
348,91030,"2054 Fremont Ave, South Pasadena, CA 91030",899370,1489
350,91030,"2008 Fremont Ave, South Pasadena, CA 91030",925000,1194
351,91030,"2028 Meridian Ave, South Pasadena, CA 91030",2750000,5152
352,91030,"1810 Ramona Ave APT 16, South Pasadena, CA 91030",698000,1303
353,91030,"832 Garfield Ave, South Pasadena, CA 91030",2999999,1289
354,91030,"116 Marmion Way APT 4, South Pasadena, CA 91030",669500,1017
356,91030,"1722 Milan Ave, South Pasadena, CA 91030",3998000,5739
357,91030,"373 Monterey Rd, South Pasadena, CA 91030",1088000,2170
358,91030,"728 Bonita Dr, South Pasadena, CA 91030",599000,6285
359,91030,"710 Fremont Ave, South Pasadena, CA 91030",2345000,5550
360,91030,"2038 Meridian Ave, South Pasadena, CA 91030",2650000,5328
362,91030,"2016 Hanscom Dr, South Pasadena, CA 91030",2199900,3185
363,91030,"260 Hillside Rd, South Pasadena, CA 91030",4988000,5281
364,91030,"2127 Hanscom Dr, South Pasadena, CA 91030",350000,1761
365,91030,"2123 Hanscom Dr, South Pasadena, CA 91030",325000,1333
367,91030,"(undisclosed Address), South Pasadena, CA 91030",1725000,2432
370,91040,"10052 Barling St, Sunland, CA 91040",1060000,2391
372,91040,"10228 Floralita Ave, Sunland, CA 91040",830000,2698
373,91040,"10750 Nassau Ave, Sunland, CA 91040",699000,662
374,91040,"8766 Wyngate St, Sunland, CA 91040",449900,1218
375,91040,"10015 La Canada Way, Sunland, CA 91040",2595000,5205
376,91040,"10506 Sunland Blvd UNIT 6, Los Angeles, CA 91040",409900,1095
377,91040,"7970 Mcgroarty St, Sunland, CA 91040",699999,1692
378,91040,"8338 W Standard Pl, Sunland, CA 91040",995000,3343
379,91040,"8410 Grenoble St, Sunland, CA 91040",1135000,1990
380,91040,"10217 Floralita Ave, Sunland, CA 91040",629000,1220
381,91040,"8533 Tujunga Valley St, Sunland, CA 91040",849000,2259
382,91040,"10533 Johanna Ave, Sunland, CA 91040",1099000,2116
383,91040,"10227 Odell Ave, Sunland, CA 91040",839000,1852
384,91040,"10915 10917 Odell Ave, Sunland, CA 91040",1199000,3250
385,91040,"9650 Sombra Valley Dr, Sunland, CA 91040",849995,1693
387,91040,"10575 Lost Trail Ave, Shadow Hills, CA 91040",1200000,3880
389,91040,"10620 Johanna Ave, Sunland, CA 91040",1049000,2040
391,91040,"10349 Siesta Dr, Sunland, CA 91040",979000,3194
393,91040,"10165 La Canada Way, Sunland, CA 91040",2499000,5733
394,91040,"11011 Whitegate Ave, Sunland, CA 91040",710000,1830
397,91040,"10101 Wheatland Ave, Sunland, CA 91040",1499000,2888
398,91040,"8131 Ellenbogen St, Sunland, CA 91040",849999,2433
400,91040,"10054 Orcas Ave, Sunland, CA 91040",1137000,2581
402,91040,"11104 Oro Vista Ave, Sunland, CA",1189000,3569
403,91040,"7905 Jayseel St, Sunland, CA 91040",749000,2158
404,91040,"10366 Ormond St, Sunland, CA 91040",899000,2685
