,dr_no,area,date_occ,time_occ,location,lat,lon,crm_cd,zipcode
162,191120576,11,2019-12-08T00:00:00.000,1510,2900    SWAN                         PL,34.0908,-118.2669,420,90026
163,192021120,20,2019-12-08T00:00:00.000,850,8TH,34.0591,-118.3205,510,90005
164,190623429,6,2019-12-08T00:00:00.000,250,6200    SANTA MONICA                 BL,34.0944,-118.3277,745,90028
165,191617385,16,2019-12-08T00:00:00.000,900,13100    EUSTACE                      ST,34.2824,-118.4179,740,91331
166,191617351,16,2019-12-08T00:00:00.000,1900,10400    FOOTHILL                     BL,34.2738,-118.3565,420,91342
167,191501436,15,2019-12-08T00:00:00.000,205,12700    VENTURA                      BL,34.1447,-118.4095,310,91604
168,191228442,12,2019-12-08T00:00:00.000,20,800 W  61ST                         ST,33.9847,-118.287,230,90044
169,190720523,7,2019-12-08T00:00:00.000,1445,200 N  LARCHMONT                    BL,34.0746,-118.3236,210,90004
170,190920939,9,2019-12-08T00:00:00.000,330,12900    VICTORY                      BL,34.1867,-118.4137,310,91606
171,191425119,14,2019-12-08T00:00:00.000,345,1400    PACIFIC                      AV,33.9889,-118.4732,510,90291
172,191018765,10,2019-12-08T00:00:00.000,1845,19000    VANOWEN                      ST,34.1939,-118.54700000000001,440,91335
173,192021136,20,2019-12-08T00:00:00.000,1715,2200    CAMBRIDGE                    ST,34.0445,-118.3062,850,90006
174,192021116,20,2019-12-08T00:00:00.000,330,1900    CIMARRON                     ST,34.0399,-118.3155,237,90018
175,191920272,19,2019-12-08T00:00:00.000,200,8000    BROADLEAF                    AV,34.2164,-118.4381,510,91402
176,192119582,21,2019-12-08T00:00:00.000,2000,20100    LEADWELL                     ST,34.2035,-118.571,330,91306
177,191719083,17,2019-12-08T00:00:00.000,1900,18700    BRYANT                       ST,34.2273,-118.5405,510,91324
178,191617340,16,2019-12-08T00:00:00.000,300,GLENOAKS                     BL,34.2316,-118.3682,440,91352
179,191617392,16,2019-12-08T00:00:00.000,1645,13000    CARL                         ST,34.2688,-118.4158,420,91331
180,191323530,13,2019-12-08T00:00:00.000,1830,200 E  54TH                         ST,33.9934,-118.272,624,90011
181,191228457,12,2019-12-08T00:00:00.000,445,7800 S  NORMANDIE                    AV,33.9692,-118.3003,230,90044
182,190819309,8,2019-12-08T00:00:00.000,1030,PACIFIC COAST                HY,34.0401,-118.5606,510,90272
183,190326038,3,2019-12-08T00:00:00.000,1500,5200 W  ADAMS                        BL,34.0325,-118.3552,624,90016
184,191824538,18,2019-12-08T00:00:00.000,1830,116TH                        ST,33.9292,-118.2622,210,90059
185,190128817,1,2019-12-08T00:00:00.000,2120,FRANCISCO,34.0504,-118.26100000000001,210,90017
186,191617355,16,2019-12-08T00:00:00.000,1950,10500    HADDON                       AV,34.2612,-118.4288,210,91331
187,191120607,11,2019-12-08T00:00:00.000,1000,3000    SILVER LAKE                  BL,34.1095,-118.256,354,90039
188,192119558,21,2019-12-08T00:00:00.000,1,19900    CALVERT                      ST,34.1812,-118.5648,230,91367
189,191920289,19,2019-12-08T00:00:00.000,530,14000    ARLEE                        PL,34.3266,-118.4234,480,91342
190,190128807,1,2019-12-08T00:00:00.000,1300,600 W  9TH                          ST,34.0462,-118.2585,624,90017
191,191323484,13,2019-12-08T00:00:00.000,100,1200 E  25TH                         ST,34.0186,-118.2519,626,90011
192,192021135,20,2019-12-08T00:00:00.000,2025,600 N  OXFORD                       AV,34.0817,-118.30799999999999,624,90004
193,190128781,1,2019-12-08T00:00:00.000,551,14TH                         ST,34.0356,-118.2625,110,90015
194,191323547,13,2019-12-08T00:00:00.000,2200,1200 E  55TH                         ST,33.993,-118.2543,627,90011
195,191323522,13,2019-12-08T00:00:00.000,1900,400 E  25TH                         ST,34.0244,-118.2648,624,90011
196,190920956,9,2019-12-08T00:00:00.000,1531,14600    TUSTIN                       ST,34.1467,-118.4538,901,91403
197,190623453,6,2019-12-08T00:00:00.000,1900,8000 W  SUNSET                       BL,34.098,-118.3645,624,90046
198,190417766,4,2019-12-08T00:00:00.000,2000,1600    NEW JERSEY                   ST,34.0509,-118.2194,745,90033
199,191228484,12,2019-12-08T00:00:00.000,645,5300    2ND                          AV,33.9951,-118.3193,745,90043
200,191228443,12,2019-12-08T00:00:00.000,1130,7100    10TH                         AV,33.9757,-118.32799999999999,761,90043
201,191120578,11,2019-12-08T00:00:00.000,200,2900    HYPERION                     AV,34.1092,-118.2714,626,90027
202,190326032,3,2019-12-08T00:00:00.000,450,3800 S  BRONSON                      AV,34.0172,-118.334,341,90008
203,190920996,9,2019-12-08T00:00:00.000,330,13300    VANOWEN                      ST,34.194,-118.4225,341,91405
204,191228445,12,2019-12-08T00:00:00.000,1940,5800 S  HOOVER                       ST,33.9888,-118.2871,510,90044
205,190720555,7,2019-12-08T00:00:00.000,1850,7200    ROSEWOOD                     AV,34.0803,-118.3462,900,90036
206,191120616,11,2019-12-08T00:00:00.000,2230,3800    LOS FELIZ                    BL,34.1145,-118.2756,330,90027
207,192021132,20,2019-12-08T00:00:00.000,1217,WESTMORELAND                 AV,34.0587,-118.2891,920,90005
208,191228465,12,2019-12-08T00:00:00.000,205,900 E  81ST                         ST,33.9656,-118.2586,624,90001
209,191425151,14,2019-12-08T00:00:00.000,1,00    WINDWARD                     AV,33.9872,-118.4731,420,90291
210,190417780,4,2019-12-08T00:00:00.000,2030,600    GIBBONS                      ST,34.0673,-118.2235,440,90031
211,191920335,19,2019-12-08T00:00:00.000,1000,8700    PARTHENIA                    PL,34.2286,-118.4644,510,91343
212,190326067,3,2019-12-08T00:00:00.000,1,2400    OBAMA                        BL,34.0222,-118.3227,930,90018
213,191617352,16,2019-12-08T00:00:00.000,455,9900    PINEWOOD                     AV,34.253,-118.2907,230,91042
